procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 127564 11858080      0      0   15    8     5     0   15    2  7  3 89  0  0
 0  0 127560 11837320      0      0   64    0     1     0 19996 32950  4  4 92  0  0
 0  0 127560 11828020      0      0    0    0     0     0 16180 20277  1  4 95  0  0
 0  0 127560 11803216      0      0  768    0    12     0 22265 34633  2  4 94  0  0
 0  0 127560 11795828      0      0 6208    0    97     0 16631 22186  2  4 94  0  0
 0  0 127560 11763096      0      0 10688    0   167     0 13993 18896  3  3 94  0  0
 1  0 127560 11721196      0      0    0    0     0     0 15568 21838  3  4 93  0  0
 1  0 127560 11763532      0      0    0    0     0     0 14075 19185  3  4 93  0  0
 0  0 127560 11754516      0      0    0    0     0     0 16361 21906  2  4 94  0  0
 0  0 127560 11745584      0      0   64    0     1     0 10148 13569  3  3 94  0  0
 0  0 127560 11742680      0      0   64    0     1     0 9616 13194  3  3 95  0  0
 0  0 127560 11836004      0      0    0    0     0     0 14576 21343  2  4 94  0  0
 0  0 127560 11828232      0      0   64    0     1     0 18256 28273  2  4 93  0  0
 0  0 127560 11826940      0      0  512    0     8     0 11490 14140  2  1 97  0  0
 0  0 127560 11831956      0      0    0    0     0     0 10978 13897  2  2 96  0  0
 0  0 127560 11832252      0      0    0    0     0     0 9006 12600  2  2 96  0  0
 0  0 127560 11840476      0      0    0    0     0     0 10781 13475  2  3 95  0  0
 0  0 127560 11840604      0      0    0    0     0     0 9110 11980  2  1 97  0  0
 0  0 127560 11840784      0      0 1088    0    17     0 10082 13406  1  3 96  0  0
 0  0 127560 11840840      0      0    0    0     0     0 12992 16692  2  4 94  0  0
 0  0 127560 11840696      0      0    0    0     0     0 12718 15525  2  3 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 127560 11838400      0      0    0    0     0     0 16220 23221  3  2 95  0  0
 0  0 127560 11882816      0      0  128    0     2     0 17012 22672  4  4 93  0  0
 0  0 127560 11883628      0      0    0    0     0     0 16586 21574  4  5 91  0  0
 0  0 127560 11883272      0      0    0    0     0     0 13454 17550  3  3 94  0  0
 0  0 127560 11881912      0      0  576    0     9     0 15547 21952  7  3 90  0  0
 0  0 127560 11870244      0      0   64    0     1     0 13681 18755  5  4 92  0  0
 0  0 127560 11871288      0      0    0    0     0     0 12867 16444  3  3 94  0  0
 0  0 127560 11872344      0      0    0    0     0     0 9383 13064  3  2 96  0  0
 0  0 127560 11875184      0      0    0    0     0     0 10927 13413  2  1 97  0  0
 0  0 127560 11875932      0      0 19584    0   306     0 17703 22848  2  3 95  0  0
 0  0 127552 11876148      0      0    0    0     0     0 10352 13966  2  3 95  0  0
 0  0 127552 11876192      0      0  384    0     6     0 8569 11972  2  1 97  0  0
 0  0 127552 11878824      0      0 22912    0   358     0 18413 29614  5  3 92  0  0
 0  0 127552 11879508      0      0  448    0     7     0 10231 13502  2  2 96  0  0
 0  0 127552 11878364      0      0 7104    0   111     0 15733 21481  2  2 96  0  0
 0  0 127552 11870804      0      0    0    0     0     0 15081 20044  2  4 95  0  0
 0  0 127552 11871916      0      0    0    0     0     0 11531 15187  2  3 95  0  0
 0  0 127552 11873628      0      0    0    0     0     0 14933 19261  2  2 96  0  0
 0  0 127552 11876176      0      0 1088    0    17     0 16894 23929  3  3 95  0  0
 0  0 127552 11885772      0      0   64    0     1     0 17547 23505  2  3 95  0  0
 0  0 127552 11885696      0      0    0    0     0     0 16486 24549  3  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 127552 11885624      0      0    0    0     0     0 12633 17405  3  4 93  0  0
 0  0 127552 11885728      0      0 3520    0    55     0 13420 17196  1  4 94  0  0
 0  0 127552 11885752      0      0    0    0     0     0 17199 24596  1  2 97  0  0
 0  0 127552 11886864      0      0    0    0     0     0 16210 23454  4  2 94  0  0
 0  0 127552 11887496      0      0    0    0     0     0 8763 11881  2  2 97  0  0
