Process Name           PID  PPID  CPU Mem(KB) IO/s Prio Threa Started Owner          Command
System                   4     0   1%    1296    0   8   309 20-10-05 Unknown        NULL
Secure System           88     4   0%   40380    0   8     0 20-10-05 Unknown        NULL
Registry               152     4   0%   17224    0   8     4 20-10-05 Unknown        NULL
smss                   600     4   0%    1208    0  11     2 20-10-05 Unknown        NULL
csrss                  852   892   0%    4592    0  13    13 20-10-05 Unknown        NULL
wininit               1092   892   0%    6204    0  13     1 20-10-05 Unknown        NULL
csrss                 1100  1072   4%    4908  171  13    13 20-10-05 Unknown        NULL
services              1172  1092   0%   10020    0   9     6 20-10-05 Unknown        NULL
LsaIso                1200  1092   0%    2872    0   8     1 20-10-05 Unknown        NULL
lsass                 1208  1092   0%   15888    0   9     8 20-10-05 Unknown        NULL
winlogon              1268  1072   0%   11888    0  13     3 20-10-05 Unknown        NULL
svchost               1400  1172   0%    3920    0   8     1 20-10-05 Unknown        NULL
svchost               1424  1172   0%   26764    0   8    12 20-10-05 Unknown        NULL
fontdrvhost           1432  1268   0%    8856    0   8     5 20-10-05 Unknown        NULL
fontdrvhost           1440  1092   0%    3584    0   8     5 20-10-05 Unknown        NULL
WUDFHost              1520  1172   0%   19460    0  13    10 20-10-05 Unknown        NULL
svchost               1588  1172   0%   12160    0   8    10 20-10-05 Unknown        NULL
svchost               1636  1172   0%    8144    0   8     3 20-10-05 Unknown        NULL
dwm                   1704  1268   0%   68456    0  13    33 20-10-05 Unknown        NULL
svchost               1892  1172   0%   10380    0   8     7 20-10-05 Unknown        NULL
svchost               1900  1172   0%   10908    0   8     4 20-10-05 Unknown        NULL
svchost               1960  1172   0%    6896    0   8     2 20-10-05 Unknown        NULL
svchost               2020  1172   0%    5908    0   8     6 20-10-05 Unknown        NULL
svchost               2096  1172   0%   10664    0   8     2 20-10-05 Unknown        NULL
svchost               2112  1172   0%    7980    0   8     1 20-10-05 Unknown        NULL
svchost               2128  1172   0%    5756    0   8     2 20-10-05 Unknown        NULL
svchost               2160  1172   0%   14336    0   8     5 20-10-05 Unknown        NULL
NVDisplay.Container   2304  1172   0%   17024    0   8     8 20-10-05 Unknown        NULL
svchost               2328  1172   0%    9820    0   8     5 20-10-05 Unknown        NULL
svchost               2360  1172   0%    5184    0   8     1 20-10-05 Unknown        NULL
svchost               2448  1172   0%   18272    1   8     7 20-10-05 Unknown        NULL
svchost               2496  1172   0%    5660    0   8     3 20-10-05 Unknown        NULL
svchost               2512  1172   0%    7080    0   8     2 20-10-05 Unknown        NULL
svchost               2520  1172   0%    7540    0   8     4 20-10-05 Unknown        NULL
svchost               2536  1172   0%    8048    0   8     1 20-10-05 Unknown        NULL
